"","PS","eta0_hat","eta1_hat","eta2_hat","MRL(eta_hat)","CA","MRL"
"IPWE","T","-0.037 (0.356)","-0.416 (0.513)","0.425 (0.505)","1.069 (0.036)","0.3 (0.158)","1.213"
"SIPWE","T","-0.042 (0.358)","-0.408 (0.516)","0.429 (0.503)","1.069 (0.036)","0.302 (0.158)","1.213"
"AIPWE","T","-0.029 (0.342)","-0.431 (0.515)","0.422 (0.503)","1.069 (0.037)","0.296 (0.164)","1.213"
"SAIPWE","T","-0.041 (0.349)","-0.418 (0.514)","0.424 (0.509)","1.069 (0.037)","0.301 (0.162)","1.213"
