"","PS","eta0_hat","eta1_hat","eta2_hat","MRL(eta_hat)","CA","MRL"
"IPWE","T","-0.014 (0.402)","-0.068 (0.644)","0.061 (0.646)","1.112 (0.052)","0.472 (0.206)","1.213"
"SIPWE","T","-0.018 (0.421)","-0.081 (0.634)","0.058 (0.642)","1.111 (0.052)","0.469 (0.199)","1.213"
"AIPWE","T","-0.016 (0.402)","-0.081 (0.64)","0.05 (0.648)","1.111 (0.052)","0.468 (0.204)","1.213"
"SAIPWE","T","-0.018 (0.421)","-0.075 (0.632)","0.027 (0.646)","1.113 (0.052)","0.476 (0.2)","1.213"
