"","PS","eta0_hat","eta1_hat","eta2_hat","MRL(eta_hat)","CA","MRL"
"IPWE","F","0.008 (0.392)","-0.276 (0.608)","0.135 (0.619)","1.096 (0.048)","0.406 (0.191)","1.213"
"SIPWE","F","0.007 (0.42)","-0.23 (0.613)","0.102 (0.621)","1.101 (0.049)","0.425 (0.189)","1.213"
"AIPWE","F","-0.286 (0.358)","0.093 (0.62)","-0.076 (0.626)","1.119 (0.043)","0.526 (0.165)","1.213"
"SAIPWE","F","-0.309 (0.369)","0.084 (0.617)","-0.054 (0.615)","1.117 (0.041)","0.52 (0.154)","1.213"
